id,issueDate,issueDateISO,vehicleMachinery,itemName,itemDesc,qty,category,issuedTo,issuedBy,mrnNum,purchaseSource,notes,createdAt,updatedAt
148,2026-06-02,2026-06-02,FL-03,Diesel,,20.0,General Items,FL-03,Bandula,167419,,,2026-06-15T13:32:12.595Z,2026-06-15T13:32:12.595Z
149,2026-05-18,2026-05-18,FL-03,Diesel   (Ltr),,10.0,General Items,FL-03,Bandula,167416,,,2026-06-15T13:33:29.436Z,2026-06-15T13:33:29.436Z
150,2026-05-16,2026-05-16,HEX-33,Diesel   (Ltr),,20.0,General Items,HEX-33,Bandula,167415,,,2026-06-15T13:34:08.685Z,2026-06-15T13:34:08.685Z
151,2026-05-19,2026-05-19,LP-1569,Coolant  (Can),,5.0,Oil & Lubricants,LP-1569,Bandula,167417,,,2026-06-15T13:34:56.656Z,2026-06-15T13:34:56.656Z
152,2026-06-11,2026-06-11,SR-11,Diesel,,5.0,General Items,SR-11,Bandula,167424,,,2026-06-15T13:36:48.709Z,2026-06-15T13:36:48.709Z
153,2026-06-11,2026-06-11,LK-4061,Diesel,,5.0,General Items,LK-4061,Bandula,167425,,,2026-06-15T13:37:42.351Z,2026-06-15T13:37:42.351Z
154,2026-06-12,2026-06-12,SR-11,Radiator Coolant,,4.0,Oil & Lubricants,SR-11,Bandula,167426,,,2026-06-15T13:38:33.615Z,2026-06-15T13:38:33.615Z
155,2026-06-12,2026-06-12,SR-11,Diesel,,20.0,General Items,SR-11,Bandula,167427,,,2026-06-15T13:40:54.946Z,2026-06-15T13:40:54.946Z
156,2026-06-15,2026-06-15,HEX-21,Diesel,,40.0,General Items,HEX-21,Bandula,167428,,,2026-06-15T13:42:01.861Z,2026-06-15T13:42:01.861Z
157,2026-06-15,2026-06-15,SL-08,Diesel,,10.0,General Items,SL-08,Bandula,167429,,,2026-06-15T13:43:19.267Z,2026-06-15T13:43:19.267Z
158,2026-06-13,2026-06-13,HEX-26,Tensioner Belt (278615999902),,1.0,Belts,HEX-26,Bandula,140612,,,2026-06-15T13:47:51.967Z,2026-06-15T13:47:51.967Z
159,2026-06-16,2026-06-16,LL-1782,Fuel Filter (P-550042),,1.0,Filters,Nimal,Bandula,167055,,,2026-06-16T06:17:07.353Z,2026-06-16T06:17:07.353Z
160,2026-06-16,2026-06-16,LL-1782,Oil Filter (O-579),,1.0,Filters,NImal,Bandula,167055,,,2026-06-16T06:17:58.756Z,2026-06-16T06:17:58.756Z
161,2026-06-16,2026-06-16,LL-1782,Oil FIlter (O-581 (vic),,1.0,Filters,Nimal,Bandula,167055,,,2026-06-16T06:18:19.514Z,2026-06-16T06:18:19.514Z
162,2026-06-15,2026-06-15,PH-6744,Water Pump (new),Repair,1.0,General Items,Repair,Bandula,166187,,,2026-06-16T06:19:20.574Z,2026-06-16T06:19:20.574Z
163,2026-06-13,2026-06-13,LC-0434,Fuel Strainer (Line Filter)  2786 0999 9920),,1.0,Filters,Nuwan,Priyankara,167053,,,2026-06-16T06:20:30.008Z,2026-06-16T06:20:30.008Z
164,2026-06-16,2026-06-16,LC-0434,Fuel Filter (FS 1275),,1.0,Filters,Nuwan,Priyankara,167053,,,2026-06-16T06:20:50.313Z,2026-06-16T06:20:50.313Z
165,2026-06-10,2026-06-10,48-4849,Wiper Arm,,1.0,General Items,Nuwan,Bandula,166165,,,2026-06-16T06:21:43.843Z,2026-06-16T06:21:43.843Z
166,2026-06-10,2026-06-10,48-4849,Door Lock,,1.0,General Items,Nuwan,Bandula,166165,,,2026-06-16T06:23:17.016Z,2026-06-16T06:23:28.003Z
167,2026-06-10,2026-06-10,48-4849,Wiper Blade,,1.0,General Items,Nuwan,Bandula,166165,,,2026-06-16T06:24:16.210Z,2026-06-16T06:24:16.210Z
